"","grp","subj","sent","seg","item","acc","rt","segtype","contr"
"1","EC",24001,"SO","c",11,1,"599","other","SOSS"
"2","EC",24001,"SO","d",11,1,"573","other","SOSS"
"3","EC",24001,"SO","c",12,1,"165","other","SOSS"
"4","EC",24001,"SO","d",12,1,"355","other","SOSS"
"5","EC",24001,"SO","c",13,1,"740","other","SOSS"
"6","EC",24001,"SO","d",13,1,"837","other","SOSS"
"7","EC",24001,"SO","c",14,1,"301","other","SOSS"
"8","EC",24001,"SO","d",14,1,"373","other","SOSS"
"9","EC",24001,"SO","c",15,1,"451","other","SOSS"
"10","EC",24001,"SO","d",15,1,"767","other","SOSS"
"11","EC",24001,"SO","c",16,1,"327","other","SOSS"
"12","EC",24001,"SO","d",16,1,"329","other","SOSS"
"13","EC",24001,"SO","c",17,1,"402","other","SOSS"
"14","EC",24001,"SO","d",17,1,"793","other","SOSS"
"15","EC",24001,"SO","c",18,1,"165","other","SOSS"
"16","EC",24001,"SO","d",18,1,"399","other","SOSS"
"17","EC",24001,"SO","c",19,1,"596","other","SOSS"
"18","EC",24001,"SO","d",19,1,"669","other","SOSS"
"19","EC",24001,"SO","c",20,1,"301","other","SOSS"
"20","EC",24001,"SO","d",20,1,"451","other","SOSS"
"21","EC",24001,"SS","c",11,1,"501","other","SOSS"
"22","EC",24001,"SS","d",11,1,"393","other","SOSS"
"23","EC",24001,"SS","c",13,1,"480","other","SOSS"
"24","EC",24001,"SS","d",13,1,"435","other","SOSS"
"25","EC",24001,"SS","c",14,1,"399","other","SOSS"
"26","EC",24001,"SS","d",14,1,"437","other","SOSS"
"27","EC",24001,"SS","c",15,1,"419","other","SOSS"
"28","EC",24001,"SS","d",15,1,"283","other","SOSS"
"29","EC",24001,"SS","c",16,1,"299","other","SOSS"
"30","EC",24001,"SS","d",16,1,"281","other","SOSS"
"31","EC",24001,"SS","c",17,1,"552","other","SOSS"
"32","EC",24001,"SS","d",17,1,"505","other","SOSS"
"33","EC",24001,"SS","c",18,1,"379","other","SOSS"
"34","EC",24001,"SS","d",18,1,"301","other","SOSS"
"35","EC",24001,"SS","c",19,1,"383","other","SOSS"
"36","EC",24001,"SS","d",19,1,"597","other","SOSS"
"37","EC",24001,"SS","c",20,1,"222","other","SOSS"
"38","EC",24001,"SS","d",20,1,"219","other","SOSS"
"39","EC",24002,"SO","c",11,1,"206","other","SOSS"
"40","EC",24002,"SO","d",11,1,"5","other","SOSS"
"41","EC",24002,"SO","c",12,1,"149","other","SOSS"
"42","EC",24002,"SO","d",12,1,"130","other","SOSS"
"43","EC",24002,"SO","c",13,1,"118","other","SOSS"
"44","EC",24002,"SO","d",13,1,"277","other","SOSS"
"45","EC",24002,"SO","c",14,1,"101","other","SOSS"
"46","EC",24002,"SO","d",14,1,"172","other","SOSS"
"47","EC",24002,"SO","c",15,1,"235","other","SOSS"
"48","EC",24002,"SO","d",15,1,"183","other","SOSS"
"49","EC",24002,"SO","c",16,1,"71","other","SOSS"
"50","EC",24002,"SO","d",16,1,"104","other","SOSS"
"51","EC",24002,"SO","c",17,1,"225","other","SOSS"
"52","EC",24002,"SO","d",17,1,"273","other","SOSS"
"53","EC",24002,"SO","c",18,1,"53","other","SOSS"
"54","EC",24002,"SO","d",18,1,"174","other","SOSS"
"55","EC",24002,"SO","c",19,1,"93","other","SOSS"
"56","EC",24002,"SO","d",19,1,"182","other","SOSS"
"57","EC",24002,"SO","c",20,1,"188","other","SOSS"
"58","EC",24002,"SO","d",20,1,"146","other","SOSS"
"59","EC",24002,"SS","c",11,1,"5","other","SOSS"
"60","EC",24002,"SS","d",11,1,"81","other","SOSS"
"61","EC",24002,"SS","c",12,1,"93","other","SOSS"
"62","EC",24002,"SS","d",12,1,"120","other","SOSS"
"63","EC",24002,"SS","c",13,1,"217","other","SOSS"
"64","EC",24002,"SS","d",13,1,"643","other","SOSS"
"65","EC",24002,"SS","c",14,1,"231","other","SOSS"
"66","EC",24002,"SS","d",14,1,"28","other","SOSS"
"67","EC",24002,"SS","c",15,0,"18","other","SOSS"
"68","EC",24002,"SS","d",15,0,"11","other","SOSS"
"69","EC",24002,"SS","c",16,1,"106","other","SOSS"
"70","EC",24002,"SS","d",16,1,"57","other","SOSS"
"71","EC",24002,"SS","c",17,1,"233","other","SOSS"
"72","EC",24002,"SS","d",17,1,"193","other","SOSS"
"73","EC",24002,"SS","c",18,1,"154","other","SOSS"
"74","EC",24002,"SS","d",18,1,"108","other","SOSS"
"75","EC",24002,"SS","c",19,1,"103","other","SOSS"
"76","EC",24002,"SS","d",19,1,"117","other","SOSS"
"77","EC",24002,"SS","c",20,1,"159","other","SOSS"
"78","EC",24002,"SS","d",20,1,"146","other","SOSS"
"79","EC",24003,"SO","c",11,1,"439","other","SOSS"
"80","EC",24003,"SO","d",11,1,"317","other","SOSS"
"81","EC",24003,"SO","c",12,1,"221","other","SOSS"
"82","EC",24003,"SO","d",12,1,"146","other","SOSS"
"83","EC",24003,"SO","c",13,1,"789","other","SOSS"
"84","EC",24003,"SO","d",13,1,"1237","other","SOSS"
"85","EC",24003,"SO","c",14,1,"86","other","SOSS"
"86","EC",24003,"SO","d",14,1,"270","other","SOSS"
"87","EC",24003,"SO","c",15,1,"378","other","SOSS"
"88","EC",24003,"SO","d",15,1,"408","other","SOSS"
"89","EC",24003,"SO","c",16,1,"168","other","SOSS"
"90","EC",24003,"SO","d",16,1,"225","other","SOSS"
"91","EC",24003,"SO","c",17,1,"650","other","SOSS"
"92","EC",24003,"SO","d",17,1,"424","other","SOSS"
"93","EC",24003,"SO","c",18,1,"221","other","SOSS"
"94","EC",24003,"SO","d",18,1,"359","other","SOSS"
"95","EC",24003,"SO","c",19,1,"853","other","SOSS"
"96","EC",24003,"SO","d",19,1,"733","other","SOSS"
"97","EC",24003,"SO","c",20,1,"309","other","SOSS"
"98","EC",24003,"SO","d",20,1,"604","other","SOSS"
"99","EC",24003,"SS","c",11,1,"229","other","SOSS"
"100","EC",24003,"SS","d",11,1,"241","other","SOSS"
"101","EC",24003,"SS","c",12,1,"141","other","SOSS"
"102","EC",24003,"SS","d",12,1,"274","other","SOSS"
"103","EC",24003,"SS","c",13,1,"305","other","SOSS"
"104","EC",24003,"SS","d",13,1,"187","other","SOSS"
"105","EC",24003,"SS","c",14,1,"199","other","SOSS"
"106","EC",24003,"SS","d",14,1,"149","other","SOSS"
"107","EC",24003,"SS","c",15,1,"291","other","SOSS"
"108","EC",24003,"SS","d",15,1,"115","other","SOSS"
"109","EC",24003,"SS","c",16,1,"171","other","SOSS"
"110","EC",24003,"SS","d",16,1,"89","other","SOSS"
"111","EC",24003,"SS","c",17,1,"433","other","SOSS"
"112","EC",24003,"SS","d",17,1,"513","other","SOSS"
"113","EC",24003,"SS","c",18,0,"234","other","SOSS"
"114","EC",24003,"SS","d",18,0,"262","other","SOSS"
"115","EC",24003,"SS","c",19,1,"215","other","SOSS"
"116","EC",24003,"SS","d",19,1,"421","other","SOSS"
"117","EC",24003,"SS","c",20,1,"144","other","SOSS"
"118","EC",24003,"SS","d",20,1,"170","other","SOSS"
"119","EC",24004,"SO","c",11,1,"247","other","SOSS"
"120","EC",24004,"SO","d",11,1,"220","other","SOSS"
"121","EC",24004,"SO","c",12,1,"349","other","SOSS"
"122","EC",24004,"SO","d",12,1,"355","other","SOSS"
"123","EC",24004,"SO","c",13,1,"197","other","SOSS"
"124","EC",24004,"SO","d",13,1,"37","other","SOSS"
"125","EC",24004,"SO","c",14,1,"220","other","SOSS"
"126","EC",24004,"SO","d",14,1,"61","other","SOSS"
"127","EC",24004,"SO","c",17,0,"200","other","SOSS"
"128","EC",24004,"SO","d",17,0,"257","other","SOSS"
"129","EC",24004,"SO","c",18,1,"205","other","SOSS"
"130","EC",24004,"SO","d",18,1,"31","other","SOSS"
"131","EC",24004,"SO","c",19,1,"101","other","SOSS"
"132","EC",24004,"SO","d",19,1,"229","other","SOSS"
"133","EC",24004,"SO","c",20,1,"53","other","SOSS"
"134","EC",24004,"SO","d",20,1,"27","other","SOSS"
"135","EC",24004,"SS","c",11,1,"45","other","SOSS"
"136","EC",24004,"SS","d",11,1,"160","other","SOSS"
"137","EC",24004,"SS","c",13,1,"193","other","SOSS"
"138","EC",24004,"SS","d",13,1,"210","other","SOSS"
"139","EC",24004,"SS","c",14,1,"104","other","SOSS"
"140","EC",24004,"SS","d",14,1,"573","other","SOSS"
"141","EC",24004,"SS","c",15,1,"234","other","SOSS"
"142","EC",24004,"SS","d",15,1,"59","other","SOSS"
"143","EC",24004,"SS","c",18,1,"187","other","SOSS"
"144","EC",24004,"SS","d",18,1,"333","other","SOSS"
"145","EC",24004,"SS","c",20,1,"38","other","SOSS"
"146","EC",24004,"SS","d",20,1,"275","other","SOSS"
"147","EC",24005,"SO","c",11,1,"247","other","SOSS"
"148","EC",24005,"SO","d",11,1,"110","other","SOSS"
"149","EC",24005,"SO","c",12,1,"206","other","SOSS"
"150","EC",24005,"SO","d",12,1,"308","other","SOSS"
"151","EC",24005,"SO","c",13,1,"157","other","SOSS"
"152","EC",24005,"SO","d",13,1,"476","other","SOSS"
"153","EC",24005,"SO","c",14,1,"300","other","SOSS"
"154","EC",24005,"SO","d",14,1,"372","other","SOSS"
"155","EC",24005,"SO","c",15,1,"163","other","SOSS"
"156","EC",24005,"SO","d",15,1,"207","other","SOSS"
"157","EC",24005,"SO","c",16,1,"55","other","SOSS"
"158","EC",24005,"SO","d",16,1,"201","other","SOSS"
"159","EC",24005,"SO","c",18,1,"157","other","SOSS"
"160","EC",24005,"SO","d",18,1,"223","other","SOSS"
"161","EC",24005,"SO","c",19,1,"293","other","SOSS"
"162","EC",24005,"SO","d",19,1,"149","other","SOSS"
"163","EC",24005,"SO","c",20,1,"261","other","SOSS"
"164","EC",24005,"SO","d",20,1,"403","other","SOSS"
"165","EC",24005,"SS","c",11,1,"190","other","SOSS"
"166","EC",24005,"SS","d",11,1,"185","other","SOSS"
"167","EC",24005,"SS","c",12,1,"78","other","SOSS"
"168","EC",24005,"SS","d",12,1,"185","other","SOSS"
"169","EC",24005,"SS","c",13,1,"320","other","SOSS"
"170","EC",24005,"SS","d",13,1,"275","other","SOSS"
"171","EC",24005,"SS","c",14,1,"175","other","SOSS"
"172","EC",24005,"SS","d",14,1,"45","other","SOSS"
"173","EC",24005,"SS","c",15,1,"123","other","SOSS"
"174","EC",24005,"SS","d",15,1,"219","other","SOSS"
"175","EC",24005,"SS","c",16,1,"76","other","SOSS"
"176","EC",24005,"SS","d",16,1,"121","other","SOSS"
"177","EC",24005,"SS","c",17,1,"161","other","SOSS"
"178","EC",24005,"SS","d",17,1,"233","other","SOSS"
"179","EC",24005,"SS","c",18,0,"275","other","SOSS"
"180","EC",24005,"SS","d",18,0,"405","other","SOSS"
"181","EC",24005,"SS","c",19,1,"127","other","SOSS"
"182","EC",24005,"SS","d",19,1,"150","other","SOSS"
"183","EC",24005,"SS","c",20,1,"143","other","SOSS"
"184","EC",24005,"SS","d",20,1,"371","other","SOSS"
"185","EC",24006,"SO","c",11,1,"183","other","SOSS"
"186","EC",24006,"SO","d",11,1,"397","other","SOSS"
"187","EC",24006,"SO","c",12,1,"213","other","SOSS"
"188","EC",24006,"SO","d",12,1,"402","other","SOSS"
"189","EC",24006,"SO","c",13,1,"421","other","SOSS"
"190","EC",24006,"SO","d",13,1,"773","other","SOSS"
"191","EC",24006,"SO","c",14,1,"533","other","SOSS"
"192","EC",24006,"SO","d",14,1,"485","other","SOSS"
"193","EC",24006,"SO","c",15,1,"3","other","SOSS"
"194","EC",24006,"SO","d",15,1,"96","other","SOSS"
"195","EC",24006,"SO","c",16,1,"247","other","SOSS"
"196","EC",24006,"SO","d",16,1,"409","other","SOSS"
"197","EC",24006,"SO","c",18,1,"413","other","SOSS"
"198","EC",24006,"SO","d",18,1,"414","other","SOSS"
"199","EC",24006,"SO","c",19,1,"669","other","SOSS"
"200","EC",24006,"SO","d",19,1,"661","other","SOSS"
"201","EC",24006,"SO","c",20,1,"292","other","SOSS"
"202","EC",24006,"SO","d",20,1,"699","other","SOSS"
"203","EC",24006,"SS","c",11,1,"141","other","SOSS"
"204","EC",24006,"SS","d",11,1,"440","other","SOSS"
"205","EC",24006,"SS","c",12,1,"229","other","SOSS"
"206","EC",24006,"SS","d",12,1,"353","other","SOSS"
"207","EC",24006,"SS","c",13,1,"417","other","SOSS"
"208","EC",24006,"SS","d",13,1,"450","other","SOSS"
"209","EC",24006,"SS","c",14,1,"247","other","SOSS"
"210","EC",24006,"SS","d",14,1,"485","other","SOSS"
"211","EC",24006,"SS","c",15,0,"299","other","SOSS"
"212","EC",24006,"SS","d",15,0,"179","other","SOSS"
"213","EC",24006,"SS","c",16,1,"330","other","SOSS"
